SQ_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,SG_PARTIDO,DS_GENERO,DS_GRAU_INSTRUCAO,patrimonio_total,qtd_bens,tipo_principal
40002549862,DARLENE NEVES,DEPUTADO FEDERAL,PDT,FEMININO,ENSINO MÉDIO COMPLETO,50000.0,1,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002535274,AUXILIADORA CASTRO,DEPUTADO FEDERAL,PSTU,FEMININO,ENSINO MÉDIO COMPLETO,50000.0,1,Casa
40002545607,LOURDES QUILOMBOLA,DEPUTADO ESTADUAL,PT,FEMININO,SUPERIOR COMPLETO,50000.0,1,Casa
40002551007,VAL SANTOS,DEPUTADO FEDERAL,PSOL,FEMININO,SUPERIOR COMPLETO,50000.0,1,Apartamento
40002536453,PAULO ARTHUR,DEPUTADO FEDERAL,NOVO,MASCULINO,ENSINO MÉDIO COMPLETO,50000.0,1,Casa
40002532761,SIDNEY LEITE,DEPUTADO FEDERAL,PSD,MASCULINO,SUPERIOR COMPLETO,44462.54,3,Depósito bancário em conta corrente no País
40002535390,CAPELÃO ROBERTO DA SILVA,2º SUPLENTE,DC,MASCULINO,SUPERIOR COMPLETO,42024.0,3,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002545596,MARÍLIA FREIRE,DEPUTADO FEDERAL,PCDOB,FEMININO,SUPERIOR COMPLETO,40000.0,1,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002549902,GOIABEIRA,DEPUTADO FEDERAL,SOLIDARIEDADE,MASCULINO,SUPERIOR COMPLETO,35300.0,2,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002551309,HUMBERTO KORIPACO,DEPUTADO ESTADUAL,REDE,MASCULINO,SUPERIOR COMPLETO,33800.4,1,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002542654,SARGENTO BRUNA,DEPUTADO ESTADUAL,UNIÃO,FEMININO,SUPERIOR COMPLETO,30000.0,1,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
